Toy Story (1995) ,8.3,1h 21min,22 November 1995,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
Capharnaüm (2018) ,8.4,2h 6min,21 June 2019,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
Tengoku to jigoku (1963) ,8.4,2h 23min,1 March 1963,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.
Amadeus (1984) ,8.3,2h 40min,19 September 1984,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him."
Inglourious Basterds (2009) ,8.3,2h 33min,2 October 2009,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
Star Wars: Episode VI - Return of the Jedi (1983) ,8.3,2h 11min,16 December 1983,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
Taare Zameen Par (2007) ,8.4,2h 45min,21 December 2007,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
Good Will Hunting (1997) ,8.3,2h 6min,9 January 1998,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
Reservoir Dogs (1992) ,8.3,1h 39min,2 September 1992,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
2001: A Space Odyssey (1968) ,8.3,2h 29min,4 October 2017,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000."
Requiem for a Dream (2000) ,8.3,1h 42min,4 October 2017,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
Vertigo (1958) ,8.3,2h 8min,30 October 2014,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.
M - Eine Stadt sucht einen Mörder (1931) ,8.3,1h 57min,31 August 1931,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
